ID_date,date_name,date_of_week,quarter,holiday,holiday_name,season,week_num,year,month,day
20000101,2000-01-01,Saturday,1,Y,Independent Czech State Restoration Day,Zima,52,2000,1,1
20000102,2000-01-02,Sunday,1,N,,Zima,52,2000,1,2
20000103,2000-01-03,Monday,1,N,,Zima,1,2000,1,3
20000104,2000-01-04,Tuesday,1,N,,Zima,1,2000,1,4
20000105,2000-01-05,Wednesday,1,N,,Zima,1,2000,1,5
20000106,2000-01-06,Thursday,1,N,,Zima,1,2000,1,6
20000107,2000-01-07,Friday,1,N,,Zima,1,2000,1,7
20000108,2000-01-08,Saturday,1,N,,Zima,1,2000,1,8
20000109,2000-01-09,Sunday,1,N,,Zima,1,2000,1,9
20000110,2000-01-10,Monday,1,N,,Zima,2,2000,1,10
20000111,2000-01-11,Tuesday,1,N,,Zima,2,2000,1,11
20000112,2000-01-12,Wednesday,1,N,,Zima,2,2000,1,12
20000113,2000-01-13,Thursday,1,N,,Zima,2,2000,1,13
20000114,2000-01-14,Friday,1,N,,Zima,2,2000,1,14
20000115,2000-01-15,Saturday,1,N,,Zima,2,2000,1,15
20000116,2000-01-16,Sunday,1,N,,Zima,2,2000,1,16
20000117,2000-01-17,Monday,1,N,,Zima,3,2000,1,17
20000118,2000-01-18,Tuesday,1,N,,Zima,3,2000,1,18
20000119,2000-01-19,Wednesday,1,N,,Zima,3,2000,1,19
20000120,2000-01-20,Thursday,1,N,,Zima,3,2000,1,20
20000121,2000-01-21,Friday,1,N,,Zima,3,2000,1,21
20000122,2000-01-22,Saturday,1,N,,Zima,3,2000,1,22
20000123,2000-01-23,Sunday,1,N,,Zima,3,2000,1,23
20000124,2000-01-24,Monday,1,N,,Zima,4,2000,1,24
20000125,2000-01-25,Tuesday,1,N,,Zima,4,2000,1,25
20000126,2000-01-26,Wednesday,1,N,,Zima,4,2000,1,26
20000127,2000-01-27,Thursday,1,N,,Zima,4,2000,1,27
20000128,2000-01-28,Friday,1,N,,Zima,4,2000,1,28
20000129,2000-01-29,Saturday,1,N,,Zima,4,2000,1,29
20000130,2000-01-30,Sunday,1,N,,Zima,4,2000,1,30
20000131,2000-01-31,Monday,1,N,,Zima,5,2000,1,31
20000201,2000-02-01,Tuesday,1,N,,Zima,5,2000,2,1
20000202,2000-02-02,Wednesday,1,N,,Zima,5,2000,2,2
20000203,2000-02-03,Thursday,1,N,,Zima,5,2000,2,3
20000204,2000-02-04,Friday,1,N,,Zima,5,2000,2,4
20000205,2000-02-05,Saturday,1,N,,Zima,5,2000,2,5
20000206,2000-02-06,Sunday,1,N,,Zima,5,2000,2,6
20000207,2000-02-07,Monday,1,N,,Zima,6,2000,2,7
20000208,2000-02-08,Tuesday,1,N,,Zima,6,2000,2,8
20000209,2000-02-09,Wednesday,1,N,,Zima,6,2000,2,9
20000210,2000-02-10,Thursday,1,N,,Zima,6,2000,2,10
20000211,2000-02-11,Friday,1,N,,Zima,6,2000,2,11
20000212,2000-02-12,Saturday,1,N,,Zima,6,2000,2,12
20000213,2000-02-13,Sunday,1,N,,Zima,6,2000,2,13
20000214,2000-02-14,Monday,1,N,,Zima,7,2000,2,14
20000215,2000-02-15,Tuesday,1,N,,Zima,7,2000,2,15
20000216,2000-02-16,Wednesday,1,N,,Zima,7,2000,2,16
20000217,2000-02-17,Thursday,1,N,,Zima,7,2000,2,17
20000218,2000-02-18,Friday,1,N,,Zima,7,2000,2,18
20000219,2000-02-19,Saturday,1,N,,Zima,7,2000,2,19
20000220,2000-02-20,Sunday,1,N,,Zima,7,2000,2,20
20000221,2000-02-21,Monday,1,N,,Zima,8,2000,2,21
20000222,2000-02-22,Tuesday,1,N,,Zima,8,2000,2,22
20000223,2000-02-23,Wednesday,1,N,,Zima,8,2000,2,23
20000224,2000-02-24,Thursday,1,N,,Zima,8,2000,2,24
20000225,2000-02-25,Friday,1,N,,Zima,8,2000,2,25
20000226,2000-02-26,Saturday,1,N,,Zima,8,2000,2,26
20000227,2000-02-27,Sunday,1,N,,Zima,8,2000,2,27
20000228,2000-02-28,Monday,1,N,,Zima,9,2000,2,28
20000229,2000-02-29,Tuesday,1,N,,Zima,9,2000,2,29
20000301,2000-03-01,Wednesday,1,N,,Jaro,9,2000,3,1
20000302,2000-03-02,Thursday,1,N,,Jaro,9,2000,3,2
20000303,2000-03-03,Friday,1,N,,Jaro,9,2000,3,3
20000304,2000-03-04,Saturday,1,N,,Jaro,9,2000,3,4
20000305,2000-03-05,Sunday,1,N,,Jaro,9,2000,3,5
20000306,2000-03-06,Monday,1,N,,Jaro,10,2000,3,6
20000307,2000-03-07,Tuesday,1,N,,Jaro,10,2000,3,7
20000308,2000-03-08,Wednesday,1,N,,Jaro,10,2000,3,8
20000309,2000-03-09,Thursday,1,N,,Jaro,10,2000,3,9
20000310,2000-03-10,Friday,1,N,,Jaro,10,2000,3,10
20000311,2000-03-11,Saturday,1,N,,Jaro,10,2000,3,11
20000312,2000-03-12,Sunday,1,N,,Jaro,10,2000,3,12
20000313,2000-03-13,Monday,1,N,,Jaro,11,2000,3,13
20000314,2000-03-14,Tuesday,1,N,,Jaro,11,2000,3,14
20000315,2000-03-15,Wednesday,1,N,,Jaro,11,2000,3,15
20000316,2000-03-16,Thursday,1,N,,Jaro,11,2000,3,16
20000317,2000-03-17,Friday,1,N,,Jaro,11,2000,3,17
20000318,2000-03-18,Saturday,1,N,,Jaro,11,2000,3,18
20000319,2000-03-19,Sunday,1,N,,Jaro,11,2000,3,19
20000320,2000-03-20,Monday,1,N,,Jaro,12,2000,3,20
20000321,2000-03-21,Tuesday,1,N,,Jaro,12,2000,3,21
20000322,2000-03-22,Wednesday,1,N,,Jaro,12,2000,3,22
20000323,2000-03-23,Thursday,1,N,,Jaro,12,2000,3,23
20000324,2000-03-24,Friday,1,N,,Jaro,12,2000,3,24
20000325,2000-03-25,Saturday,1,N,,Jaro,12,2000,3,25
20000326,2000-03-26,Sunday,1,N,,Jaro,12,2000,3,26
20000327,2000-03-27,Monday,1,N,,Jaro,13,2000,3,27
20000328,2000-03-28,Tuesday,1,N,,Jaro,13,2000,3,28
20000329,2000-03-29,Wednesday,1,N,,Jaro,13,2000,3,29
20000330,2000-03-30,Thursday,1,N,,Jaro,13,2000,3,30
20000331,2000-03-31,Friday,1,N,,Jaro,13,2000,3,31
20000401,2000-04-01,Saturday,2,N,,Jaro,13,2000,4,1
20000402,2000-04-02,Sunday,2,N,,Jaro,13,2000,4,2
20000403,2000-04-03,Monday,2,N,,Jaro,14,2000,4,3
20000404,2000-04-04,Tuesday,2,N,,Jaro,14,2000,4,4
20000405,2000-04-05,Wednesday,2,N,,Jaro,14,2000,4,5
20000406,2000-04-06,Thursday,2,N,,Jaro,14,2000,4,6
20000407,2000-04-07,Friday,2,N,,Jaro,14,2000,4,7
20000408,2000-04-08,Saturday,2,N,,Jaro,14,2000,4,8
20000409,2000-04-09,Sunday,2,N,,Jaro,14,2000,4,9
20000410,2000-04-10,Monday,2,N,,Jaro,15,2000,4,10
20000411,2000-04-11,Tuesday,2,N,,Jaro,15,2000,4,11
20000412,2000-04-12,Wednesday,2,N,,Jaro,15,2000,4,12
20000413,2000-04-13,Thursday,2,N,,Jaro,15,2000,4,13
20000414,2000-04-14,Friday,2,N,,Jaro,15,2000,4,14
20000415,2000-04-15,Saturday,2,N,,Jaro,15,2000,4,15
20000416,2000-04-16,Sunday,2,N,,Jaro,15,2000,4,16
20000417,2000-04-17,Monday,2,N,,Jaro,16,2000,4,17
20000418,2000-04-18,Tuesday,2,N,,Jaro,16,2000,4,18
20000419,2000-04-19,Wednesday,2,N,,Jaro,16,2000,4,19
20000420,2000-04-20,Thursday,2,N,,Jaro,16,2000,4,20
20000421,2000-04-21,Friday,2,N,,Jaro,16,2000,4,21
20000422,2000-04-22,Saturday,2,N,,Jaro,16,2000,4,22
20000423,2000-04-23,Sunday,2,N,,Jaro,16,2000,4,23
20000424,2000-04-24,Monday,2,Y,Easter Monday,Jaro,17,2000,4,24
20000425,2000-04-25,Tuesday,2,N,,Jaro,17,2000,4,25
20000426,2000-04-26,Wednesday,2,N,,Jaro,17,2000,4,26
20000427,2000-04-27,Thursday,2,N,,Jaro,17,2000,4,27
20000428,2000-04-28,Friday,2,N,,Jaro,17,2000,4,28
20000429,2000-04-29,Saturday,2,N,,Jaro,17,2000,4,29
20000430,2000-04-30,Sunday,2,N,,Jaro,17,2000,4,30
20000501,2000-05-01,Monday,2,Y,Labor Day,Jaro,18,2000,5,1
20000502,2000-05-02,Tuesday,2,N,,Jaro,18,2000,5,2
20000503,2000-05-03,Wednesday,2,N,,Jaro,18,2000,5,3
20000504,2000-05-04,Thursday,2,N,,Jaro,18,2000,5,4
20000505,2000-05-05,Friday,2,N,,Jaro,18,2000,5,5
20000506,2000-05-06,Saturday,2,N,,Jaro,18,2000,5,6
20000507,2000-05-07,Sunday,2,N,,Jaro,18,2000,5,7
20000508,2000-05-08,Monday,2,Y,Victory Day,Jaro,19,2000,5,8
20000509,2000-05-09,Tuesday,2,N,,Jaro,19,2000,5,9
20000510,2000-05-10,Wednesday,2,N,,Jaro,19,2000,5,10
20000511,2000-05-11,Thursday,2,N,,Jaro,19,2000,5,11
20000512,2000-05-12,Friday,2,N,,Jaro,19,2000,5,12
20000513,2000-05-13,Saturday,2,N,,Jaro,19,2000,5,13
20000514,2000-05-14,Sunday,2,N,,Jaro,19,2000,5,14
20000515,2000-05-15,Monday,2,N,,Jaro,20,2000,5,15
20000516,2000-05-16,Tuesday,2,N,,Jaro,20,2000,5,16
20000517,2000-05-17,Wednesday,2,N,,Jaro,20,2000,5,17
20000518,2000-05-18,Thursday,2,N,,Jaro,20,2000,5,18
20000519,2000-05-19,Friday,2,N,,Jaro,20,2000,5,19
20000520,2000-05-20,Saturday,2,N,,Jaro,20,2000,5,20
20000521,2000-05-21,Sunday,2,N,,Jaro,20,2000,5,21
20000522,2000-05-22,Monday,2,N,,Jaro,21,2000,5,22
20000523,2000-05-23,Tuesday,2,N,,Jaro,21,2000,5,23
20000524,2000-05-24,Wednesday,2,N,,Jaro,21,2000,5,24
20000525,2000-05-25,Thursday,2,N,,Jaro,21,2000,5,25
20000526,2000-05-26,Friday,2,N,,Jaro,21,2000,5,26
20000527,2000-05-27,Saturday,2,N,,Jaro,21,2000,5,27
20000528,2000-05-28,Sunday,2,N,,Jaro,21,2000,5,28
20000529,2000-05-29,Monday,2,N,,Jaro,22,2000,5,29
20000530,2000-05-30,Tuesday,2,N,,Jaro,22,2000,5,30
20000531,2000-05-31,Wednesday,2,N,,Jaro,22,2000,5,31
20000601,2000-06-01,Thursday,2,N,,Léto,22,2000,6,1
20000602,2000-06-02,Friday,2,N,,Léto,22,2000,6,2
20000603,2000-06-03,Saturday,2,N,,Léto,22,2000,6,3
20000604,2000-06-04,Sunday,2,N,,Léto,22,2000,6,4
20000605,2000-06-05,Monday,2,N,,Léto,23,2000,6,5
20000606,2000-06-06,Tuesday,2,N,,Léto,23,2000,6,6
20000607,2000-06-07,Wednesday,2,N,,Léto,23,2000,6,7
20000608,2000-06-08,Thursday,2,N,,Léto,23,2000,6,8
20000609,2000-06-09,Friday,2,N,,Léto,23,2000,6,9
20000610,2000-06-10,Saturday,2,N,,Léto,23,2000,6,10
20000611,2000-06-11,Sunday,2,N,,Léto,23,2000,6,11
20000612,2000-06-12,Monday,2,N,,Léto,24,2000,6,12
20000613,2000-06-13,Tuesday,2,N,,Léto,24,2000,6,13
20000614,2000-06-14,Wednesday,2,N,,Léto,24,2000,6,14
20000615,2000-06-15,Thursday,2,N,,Léto,24,2000,6,15
20000616,2000-06-16,Friday,2,N,,Léto,24,2000,6,16
20000617,2000-06-17,Saturday,2,N,,Léto,24,2000,6,17
20000618,2000-06-18,Sunday,2,N,,Léto,24,2000,6,18
20000619,2000-06-19,Monday,2,N,,Léto,25,2000,6,19
20000620,2000-06-20,Tuesday,2,N,,Léto,25,2000,6,20
20000621,2000-06-21,Wednesday,2,N,,Léto,25,2000,6,21
20000622,2000-06-22,Thursday,2,N,,Léto,25,2000,6,22
20000623,2000-06-23,Friday,2,N,,Léto,25,2000,6,23
20000624,2000-06-24,Saturday,2,N,,Léto,25,2000,6,24
20000625,2000-06-25,Sunday,2,N,,Léto,25,2000,6,25
20000626,2000-06-26,Monday,2,N,,Léto,26,2000,6,26
20000627,2000-06-27,Tuesday,2,N,,Léto,26,2000,6,27
20000628,2000-06-28,Wednesday,2,N,,Léto,26,2000,6,28
20000629,2000-06-29,Thursday,2,N,,Léto,26,2000,6,29
20000630,2000-06-30,Friday,2,N,,Léto,26,2000,6,30
20000701,2000-07-01,Saturday,3,N,,Léto,26,2000,7,1
20000702,2000-07-02,Sunday,3,N,,Léto,26,2000,7,2
20000703,2000-07-03,Monday,3,N,,Léto,27,2000,7,3
20000704,2000-07-04,Tuesday,3,N,,Léto,27,2000,7,4
20000705,2000-07-05,Wednesday,3,Y,Saints Cyril and Methodius Day,Léto,27,2000,7,5
20000706,2000-07-06,Thursday,3,Y,Jan Hus Day,Léto,27,2000,7,6
20000707,2000-07-07,Friday,3,N,,Léto,27,2000,7,7
20000708,2000-07-08,Saturday,3,N,,Léto,27,2000,7,8
20000709,2000-07-09,Sunday,3,N,,Léto,27,2000,7,9
20000710,2000-07-10,Monday,3,N,,Léto,28,2000,7,10
20000711,2000-07-11,Tuesday,3,N,,Léto,28,2000,7,11
20000712,2000-07-12,Wednesday,3,N,,Léto,28,2000,7,12
20000713,2000-07-13,Thursday,3,N,,Léto,28,2000,7,13
20000714,2000-07-14,Friday,3,N,,Léto,28,2000,7,14
20000715,2000-07-15,Saturday,3,N,,Léto,28,2000,7,15
20000716,2000-07-16,Sunday,3,N,,Léto,28,2000,7,16
20000717,2000-07-17,Monday,3,N,,Léto,29,2000,7,17
20000718,2000-07-18,Tuesday,3,N,,Léto,29,2000,7,18
20000719,2000-07-19,Wednesday,3,N,,Léto,29,2000,7,19
20000720,2000-07-20,Thursday,3,N,,Léto,29,2000,7,20
20000721,2000-07-21,Friday,3,N,,Léto,29,2000,7,21
20000722,2000-07-22,Saturday,3,N,,Léto,29,2000,7,22
20000723,2000-07-23,Sunday,3,N,,Léto,29,2000,7,23
20000724,2000-07-24,Monday,3,N,,Léto,30,2000,7,24
20000725,2000-07-25,Tuesday,3,N,,Léto,30,2000,7,25
20000726,2000-07-26,Wednesday,3,N,,Léto,30,2000,7,26
20000727,2000-07-27,Thursday,3,N,,Léto,30,2000,7,27
20000728,2000-07-28,Friday,3,N,,Léto,30,2000,7,28
20000729,2000-07-29,Saturday,3,N,,Léto,30,2000,7,29
20000730,2000-07-30,Sunday,3,N,,Léto,30,2000,7,30
20000731,2000-07-31,Monday,3,N,,Léto,31,2000,7,31
20000801,2000-08-01,Tuesday,3,N,,Léto,31,2000,8,1
20000802,2000-08-02,Wednesday,3,N,,Léto,31,2000,8,2
20000803,2000-08-03,Thursday,3,N,,Léto,31,2000,8,3
20000804,2000-08-04,Friday,3,N,,Léto,31,2000,8,4
20000805,2000-08-05,Saturday,3,N,,Léto,31,2000,8,5
20000806,2000-08-06,Sunday,3,N,,Léto,31,2000,8,6
20000807,2000-08-07,Monday,3,N,,Léto,32,2000,8,7
20000808,2000-08-08,Tuesday,3,N,,Léto,32,2000,8,8
20000809,2000-08-09,Wednesday,3,N,,Léto,32,2000,8,9
20000810,2000-08-10,Thursday,3,N,,Léto,32,2000,8,10
20000811,2000-08-11,Friday,3,N,,Léto,32,2000,8,11
20000812,2000-08-12,Saturday,3,N,,Léto,32,2000,8,12
20000813,2000-08-13,Sunday,3,N,,Léto,32,2000,8,13
20000814,2000-08-14,Monday,3,N,,Léto,33,2000,8,14
20000815,2000-08-15,Tuesday,3,N,,Léto,33,2000,8,15
20000816,2000-08-16,Wednesday,3,N,,Léto,33,2000,8,16
20000817,2000-08-17,Thursday,3,N,,Léto,33,2000,8,17
20000818,2000-08-18,Friday,3,N,,Léto,33,2000,8,18
20000819,2000-08-19,Saturday,3,N,,Léto,33,2000,8,19
20000820,2000-08-20,Sunday,3,N,,Léto,33,2000,8,20
20000821,2000-08-21,Monday,3,N,,Léto,34,2000,8,21
20000822,2000-08-22,Tuesday,3,N,,Léto,34,2000,8,22
20000823,2000-08-23,Wednesday,3,N,,Léto,34,2000,8,23
20000824,2000-08-24,Thursday,3,N,,Léto,34,2000,8,24
20000825,2000-08-25,Friday,3,N,,Léto,34,2000,8,25
20000826,2000-08-26,Saturday,3,N,,Léto,34,2000,8,26
20000827,2000-08-27,Sunday,3,N,,Léto,34,2000,8,27
20000828,2000-08-28,Monday,3,N,,Léto,35,2000,8,28
20000829,2000-08-29,Tuesday,3,N,,Léto,35,2000,8,29
20000830,2000-08-30,Wednesday,3,N,,Léto,35,2000,8,30
20000831,2000-08-31,Thursday,3,N,,Léto,35,2000,8,31
20000901,2000-09-01,Friday,3,N,,Podzim,35,2000,9,1
20000902,2000-09-02,Saturday,3,N,,Podzim,35,2000,9,2
20000903,2000-09-03,Sunday,3,N,,Podzim,35,2000,9,3
20000904,2000-09-04,Monday,3,N,,Podzim,36,2000,9,4
20000905,2000-09-05,Tuesday,3,N,,Podzim,36,2000,9,5
20000906,2000-09-06,Wednesday,3,N,,Podzim,36,2000,9,6
20000907,2000-09-07,Thursday,3,N,,Podzim,36,2000,9,7
20000908,2000-09-08,Friday,3,N,,Podzim,36,2000,9,8
20000909,2000-09-09,Saturday,3,N,,Podzim,36,2000,9,9
20000910,2000-09-10,Sunday,3,N,,Podzim,36,2000,9,10
